warehouse_code,order_date,order_num
USNYCA,2020-03-05 00:00:00,5132
USNYCA,2020-06-04 00:00:00,6471
USNYCA,2020-08-11 00:00:00,23449
USNYCA,2020-11-07 00:00:00,4790
USNYCA,2020-11-25 00:00:00,9616
USNYCA,2021-01-06 00:00:00,12019
USNYCA,2021-01-12 00:00:00,11273
AUMELA,2020-02-09 00:00:00,12
AUMELA,2020-02-22 00:00:00,4
AUMELA,2020-03-09 00:00:00,35
AUMELA,2020-05-30 00:00:00,70
AUMELA,2020-07-15 00:00:00,190
AUMELA,2020-08-15 00:00:00,3
AUMELA,2020-08-29 00:00:00,3
AUMELA,2020-10-24 00:00:00,2
AUMELA,2021-01-23 00:00:00,9
AUMELB,2020-10-08 00:00:00,129
AUMELB,2020-11-05 00:00:00,143
AUMELB,2020-11-18 00:00:00,230
AUMELB,2021-01-18 00:00:00,219
AUMELB,2021-01-23 00:00:00,94
AUSYDA,2020-01-29 00:00:00,1945
AUSYDA,2020-03-07 00:00:00,820
AUSYDA,2020-03-12 00:00:00,1624
AUSYDA,2020-07-23 00:00:00,2342
AUSYDA,2020-08-26 00:00:00,2947
AUSYDA,2020-09-23 00:00:00,3217
BELGGA,2020-01-10 00:00:00,164
BELGGA,2020-03-31 00:00:00,112
BELGGA,2020-04-16 00:00:00,71
BELGGA,2020-08-12 00:00:00,445
BELGGA,2020-10-18 00:00:00,26
BELGGB,2020-01-06 00:00:00,193
BELGGB,2020-04-26 00:00:00,217
BELGGB,2020-07-01 00:00:00,437
BELGGB,2020-07-03 00:00:00,377
BELGGB,2020-07-12 00:00:00,193
BELGGB,2020-09-23 00:00:00,1127
BELGGB,2020-09-30 00:00:00,876
BELGGB,2020-10-09 00:00:00,1284
BELGGB,2020-10-22 00:00:00,1306
CAMSGA,2020-02-10 00:00:00,268
CAMSGA,2020-03-30 00:00:00,379
CAMSGA,2020-04-12 00:00:00,471
CAMSGA,2020-04-23 00:00:00,414
CAMSGA,2020-06-23 00:00:00,719
CAYYZA,2020-03-11 00:00:00,2
CNDGMA,2020-02-06 00:00:00,5
CNDGMA,2020-03-08 00:00:00,37
CNDGMA,2020-03-25 00:00:00,3
CNDGMA,2020-06-30 00:00:00,1
CNHKGB,2020-01-04 00:00:00,376
CNHKGB,2020-01-18 00:00:00,1557
CNHKGB,2020-01-30 00:00:00,357
CNHKGB,2020-06-16 00:00:00,3094
CNHKGB,2020-06-29 00:00:00,1078
CNHKGB,2020-07-29 00:00:00,1223
CNHKGB,2020-11-08 00:00:00,95
CNHKGB,2020-12-25 00:00:00,787
CNHKGB,2021-01-11 00:00:00,1649
CZPRGA,2020-01-12 00:00:00,3815
CZPRGA,2020-04-30 00:00:00,10117
CZPRGA,2020-05-10 00:00:00,4478
CZPRGA,2020-05-13 00:00:00,10650
CZPRGA,2020-08-16 00:00:00,4234
DEFRAA,2020-02-01 00:00:00,1861
DEFRAA,2020-02-10 00:00:00,3869
DEFRAA,2020-07-19 00:00:00,2671
DEFRAA,2020-09-13 00:00:00,3941
DEFRAA,2020-10-17 00:00:00,4566
DEFRAA,2020-12-09 00:00:00,9174
DEFRAA,2020-12-14 00:00:00,14280
DEFRAB,2020-03-07 00:00:00,2604
DEFRAB,2020-03-31 00:00:00,8946
DEFRAB,2020-04-07 00:00:00,12813
DEFRAB,2020-05-05 00:00:00,10210
DEFRAB,2020-06-17 00:00:00,10731
DEFRAB,2020-07-06 00:00:00,21495
DEFRAB,2020-07-08 00:00:00,8537
DEFRAB,2020-08-14 00:00:00,6919
DEFRAB,2020-09-12 00:00:00,524
DEFRAB,2020-09-17 00:00:00,7186
DEFRAB,2020-09-30 00:00:00,7830
DEFRAB,2020-10-10 00:00:00,6581
DEFRAB,2020-11-19 00:00:00,11154
DEFRAB,2020-12-22 00:00:00,5862
DEFRAB,2021-01-16 00:00:00,5121
DEFRAB,2021-01-21 00:00:00,7008
DEFRAC,2020-10-11 00:00:00,136
DEFRAC,2020-12-07 00:00:00,11791
DEFRAD,2020-12-24 00:00:00,3287
ESMADA,2020-01-09 00:00:00,2580
ESMADA,2020-02-11 00:00:00,2810
ESMADA,2020-03-08 00:00:00,991
ESMADA,2020-04-05 00:00:00,2311
ESMADA,2020-06-19 00:00:00,4323
ESMADA,2020-07-18 00:00:00,2079
ESMADA,2020-08-08 00:00:00,2540
ESMADA,2020-08-26 00:00:00,7289
ESMADA,2020-11-21 00:00:00,4595
ESMADA,2020-12-24 00:00:00,4616
FRCDGA,2020-11-26 00:00:00,31
FRCDGA,2020-12-04 00:00:00,20
FRCDGA,2020-12-17 00:00:00,13
FRCDGA,2020-12-31 00:00:00,46
FRCDGA,2021-01-03 00:00:00,115
GBLONA,2020-03-14 00:00:00,2281
GBLONA,2020-05-31 00:00:00,552
GBLONA,2020-08-22 00:00:00,2705
GBLONA,2020-08-27 00:00:00,3601
GBLONA,2020-11-10 00:00:00,10214
GBLONA,2020-12-01 00:00:00,9661
GBLONA,2020-12-27 00:00:00,2435
GBLONA,2020-12-31 00:00:00,6784
GBLONA,2021-01-12 00:00:00,7003
GBLTNA,2020-02-06 00:00:00,22325
GBLTNA,2020-02-20 00:00:00,19278
GBLTNA,2020-07-05 00:00:00,21028
JPOSAA,2020-01-03 00:00:00,479
JPOSAA,2020-05-11 00:00:00,887
JPOSAA,2020-06-26 00:00:00,449
JPOSAA,2020-07-17 00:00:00,752
JPOSAA,2020-08-08 00:00:00,391
JPOSAA,2020-10-04 00:00:00,102
JPOSAA,2020-11-28 00:00:00,744
JPOSAA,2020-12-23 00:00:00,593
PLSLBA,2020-01-23 00:00:00,316
PLSLBA,2020-02-13 00:00:00,292
PLSLBA,2020-02-22 00:00:00,135
PLSLBA,2020-04-24 00:00:00,325
PLSLBA,2020-05-28 00:00:00,519
PLSLBA,2020-06-03 00:00:00,669
PLSLBA,2020-07-06 00:00:00,948
PLSLBA,2020-08-02 00:00:00,570
PLSLBA,2020-08-24 00:00:00,2466
PLSLBA,2020-09-13 00:00:00,468
PLSLBA,2020-09-23 00:00:00,576
PLSLBA,2020-11-01 00:00:00,66
PLSLBA,2020-11-07 00:00:00,96
PLSLBA,2020-11-14 00:00:00,152
PLSLBA,2020-12-20 00:00:00,25
PLSLBB,2020-08-10 00:00:00,336
PLSLBB,2020-09-12 00:00:00,489
PLSLBB,2020-10-02 00:00:00,819
PLSLBB,2020-10-17 00:00:00,1158
PLSLBB,2020-11-24 00:00:00,6671
PLSLBB,2021-01-13 00:00:00,4772
USLAXA,2020-01-15 00:00:00,9010
USLAXA,2020-02-20 00:00:00,8996
USLAXA,2020-04-21 00:00:00,18748
USLAXA,2020-06-09 00:00:00,14036
USNYCA,2020-02-05 00:00:00,4553
USNYCA,2020-03-22 00:00:00,5300
USNYCA,2020-06-30 00:00:00,9873
USNYCA,2020-07-08 00:00:00,11642
USNYCA,2020-10-23 00:00:00,7898
USNYCA,2021-01-20 00:00:00,8941
AUMELA,2020-01-13 00:00:00,24
AUMELA,2020-05-27 00:00:00,62
AUMELA,2020-07-16 00:00:00,165
AUMELA,2020-08-03 00:00:00,202
AUMELA,2020-09-21 00:00:00,9
AUMELA,2020-11-29 00:00:00,6
AUMELA,2020-12-21 00:00:00,61
AUMELB,2020-08-17 00:00:00,176
AUSYDA,2020-02-07 00:00:00,2095
AUSYDA,2020-06-26 00:00:00,1951
AUSYDA,2020-07-14 00:00:00,2628
AUSYDA,2020-10-04 00:00:00,1307
AUSYDA,2020-10-29 00:00:00,2811
AUSYDA,2020-12-26 00:00:00,1755
AUSYDA,2020-12-29 00:00:00,2931
AUSYDA,2021-01-01 00:00:00,1170
AUSYDA,2021-01-03 00:00:00,2785
BELGGA,2020-02-03 00:00:00,122
BELGGA,2020-04-01 00:00:00,319
BELGGA,2020-04-02 00:00:00,124
BELGGA,2020-04-07 00:00:00,118
BELGGA,2020-06-01 00:00:00,147
BELGGA,2020-06-27 00:00:00,69
BELGGA,2020-07-03 00:00:00,80
BELGGA,2020-07-18 00:00:00,48
BELGGA,2020-08-18 00:00:00,92
BELGGA,2020-11-26 00:00:00,212
BELGGA,2021-01-11 00:00:00,176
BELGGB,2020-01-15 00:00:00,112
